しゅ hood
しょ hope
すあ horn
すい horror
すう horse
すえ hospital
すお host
すか hotel
すき hour
すく hover
すけ hub
すこ huge
すさ human
すし humble
すす humor
すせ hundred
すそ hungry
すた hunt
すち hurdle
すつ hurry
すて hurt
すと husband
すな hybrid
すに ice
すぬ icon
すね idea
すの identify
すは idle
すひ ignore
すふ ill
すへ illegal
すほ illness
すま image
すみ imitate
すむ immense
すめ immune
すも impact
すや impose
すゆ improve
すよ impulse
すら inch
すり include
する income
すれ increase
すろ index
すわ indicate
すを indoor
すん industry
すが infant
すぎ inflict
すぐ inform
すげ inhale
すご inherit
すざ initial
すじ inject
すず injury
すぜ inmate
すぞ inner
すだ innocent
すで input
すど inquiry
すば insane
すび insect
すぶ inside
すべ inspire
すぼ install
すぱ intact
すぴ interest
すぷ into
すぺ invest
すぽ invite
すっ involve
すゃ iron
すゅ island
すょ isolate
せあ issue
せい item
せう ivory
せえ jacket
せお jaguar
せか jar
せき jazz
せく jealous
せけ jeans
せこ jelly
せさ jewel
せし job
せす join
せせ joke
せそ journey
せた joy
せち judge
せつ juice
せて jump
せと jungle
せな junior
せに junk
せぬ just
せね kangaroo
せの keen
せは keep
せひ ketchup
せふ key
せへ kick
せほ kid
せま kidney
せみ kind
せむ kingdom
せめ kiss
せも kit
せや kitchen
せゆ kite
せよ kitten
せら kiwi
せり knee
せる knife
せれ knock
せろ know
せわ lab
せを label
せん labor
せが ladder
せぎ lady
せぐ lake
せげ lamp
せご language
せざ laptop
せじ large
せず later
せぜ latin
せぞ laugh
せだ laundry
せで lava
せど law
せば lawn
せび lawsuit
せぶ layer
せべ lazy
せぼ leader
せぱ leaf
せぴ learn
せぷ leave
せぺ lecture
せぽ left
せっ leg
せゃ legal
せゅ legend
せょ leisure
そあ lemon
そい lend
そう length
そえ lens
そお leopard
そか lesson
そき letter
そく level
そけ liar
そこ liberty
そさ library
そし license
そす life
そせ lift
そそ light
そた like
そち limb
そつ limit
そて link
そと lion
そな liquid
そに list
そぬ little
そね live
その lizard
そは load
そひ loan
そふ lobster
そへ local
そほ lock
そま logic
そみ lonely
そむ long
そめ loop
そも lottery
そや loud
そゆ lounge
そよ love
そら loyal
そり lucky
そる luggage
それ lumber
そろ lunar
そわ lunch
そを luxury
そん lyrics
そが machine
そぎ mad
そぐ magic
そげ magnet
そご maid
そざ mail
そじ main
そず major
そぜ make
そぞ mammal
そだ man
そで manage
そど mandate
そば mango
そび mansion
そぶ manual
そべ maple
そぼ marble
そぱ march
そぴ margin
そぷ marine
そぺ market
そぽ marriage
そっ mask
そゃ mass
そゅ master
そょ match
たあ material
たい math
たう matrix
たえ matter
たお maximum
たか maze
たき meadow
たく mean
たけ measure
たこ meat
たさ mechanic
たし medal
たす media
たせ melody
たそ melt
たた member
たち memory
たつ mention
たて menu
たと mercy
たな merge
たに merit
たぬ merry
たね mesh
たの message
たは metal
たひ method
たふ middle
たへ midnight
たほ milk
たま million
たみ mimic
たむ mind
ため minimum
たも minor
たや minute
たゆ miracle
たよ mirror
たら misery
たり miss
たる mistake
たれ mix
たろ mixed
たわ mixture
たを mobile
たん model
たが modify
たぎ mom
たぐ moment
たげ monitor
たご monkey
たざ monster
たじ month
たず moon
たぜ moral
たぞ more
ただ morning
たで mosquito
たど mother
たば motion
たび motor
たぶ mountain
たべ mouse
たぼ move
たぱ movie
たぴ much
たぷ muffin
たぺ mule
たぽ multiply
たっ muscle
たゃ museum
たゅ mushroom
たょ music
ちあ must
ちい mutual
ちう myself
ちえ mystery
ちお myth
ちか naive
ちき name
ちく napkin
ちけ narrow
ちこ nasty
ちさ nation
ちし nature
ちす near
ちせ neck
ちそ need
ちた negative
ちち neglect
ちつ neither
ちて nephew
ちと nerve
ちな nest
ちに net
ちぬ network
ちね neutral
ちの never
ちは news
ちひ next
ちふ nice
ちへ night
ちほ noble
ちま noise
ちみ nominee
ちむ noodle
ちめ normal
ちも north
ちや nose
ちゆ notable
ちよ note
ちら nothing
ちり notice
ちる novel
ちれ now
ちろ nuclear
ちわ number
ちを nurse
ちん nut
ちが oak
ちぎ obey
ちぐ object
ちげ oblige
ちご obscure
ちざ observe
ちじ obtain
ちず obvious
ちぜ occur
ちぞ ocean
ちだ october
ちで odor
ちど off
ちば offer
ちび office
ちぶ often
ちべ oil
ちぼ okay
ちぱ old
ちぴ olive
ちぷ olympic
ちぺ omit
ちぽ once
ちっ one
ちゃ onion
ちゅ online
ちょ only
つあ open
つい opera
つう opinion
つえ oppose
つお option
つか orange
つき orbit
つく orchard
つけ order
つこ ordinary
つさ organ
つし orient
つす original
つせ orphan
つそ ostrich
つた other
つち outdoor
つつ outer
つて output
つと outside
つな oval
つに oven
つぬ over
つね own
つの owner
つは oxygen
つひ oyster
つふ ozone
つへ pact
つほ paddle
つま page
つみ pair
つむ palace
つめ palm
つも panda
つや panel
つゆ panic
つよ panther
つら paper
つり parade
つる parent
つれ park
つろ parrot
つわ party
つを pass
つん patch
つが path
つぎ patient
つぐ patrol
つげ pattern
つご pause
つざ pave
つじ payment
つず peace
つぜ peanut
つぞ pear
つだ peasant
つで pelican
つど pen
つば penalty
つび pencil
つぶ people
つべ pepper
つぼ perfect
つぱ permit
つぴ person
つぷ pet
つぺ phone
つぽ photo
つっ phrase
つゃ physical
つゅ piano
つょ picnic
てあ picture
てい piece
てう pig
てえ pigeon
てお pill
てか pilot
てき pink
てく pioneer
てけ pipe
てこ pistol
てさ pitch
てし pizza
てす place
てせ planet
てそ plastic
てた plate
てち play
てつ please
てて pledge
てと pluck
てな plug
てに plunge
てぬ poem
てね poet
ての point
ては polar
てひ pole
てふ police
てへ pond
てほ pony
てま pool
てみ popular
てむ portion
てめ position
ても possible
てや post
てゆ potato
てよ pottery
てら poverty
てり powder
てる power
てれ practice
てろ praise
てわ predict
てを prefer
てん prepare
てが present
てぎ pretty
てぐ prevent
てげ price
てご pride
てざ primary
てじ print
てず priority
てぜ prison
てぞ private
てだ prize
てで problem
てど process
てば produce
てび profit
てぶ program
てべ project
てぼ promote
てぱ proof
てぴ property
てぷ prosper
てぺ protect
てぽ proud
てっ provide
てゃ public
てゅ pudding
てょ pull
とあ pulp
とい pulse
とう pumpkin
とえ punch
とお pupil
とか puppy
とき purchase
とく purity
とけ purpose
とこ purse
とさ push
とし put
とす puzzle
とせ pyramid
とそ quality
とた quantum
とち quarter
とつ question
とて quick
とと quit
とな quiz
とに quote
とぬ rabbit
とね raccoon
との race
とは rack
とひ radar
とふ radio
とへ rail
とほ rain
とま raise
とみ rally
とむ ramp
とめ ranch
とも random
とや range
とゆ rapid
とよ rare
とら rate
とり rather
とる raven
とれ raw
とろ razor
とわ ready
とを real
とん reason
とが rebel
とぎ rebuild
とぐ recall
とげ receive
とご recipe
とざ record
とじ recycle
とず reduce
とぜ reflect
とぞ reform
とだ refuse
とで region
とど regret
とば regular
とび reject
とぶ relax
とべ release
とぼ relief
とぱ rely
とぴ remain
とぷ remember
とぺ remind
とぽ remove
とっ render
とゃ renew
とゅ rent
とょ reopen
なあ repair
ない repeat
なう replace
なえ report
なお require
なか rescue
なき resemble
なく resist
なけ resource
なこ response
なさ result
なし retire
なす retreat
なせ return
なそ reunion
なた reveal
なち review
なつ reward
なて rhythm
なと rib
なな ribbon
なに rice
なぬ rich
なね ride
なの ridge
なは rifle
なひ right
なふ rigid
なへ ring
なほ riot
なま ripple
なみ risk
なむ ritual
なめ rival
なも river
なや road
なゆ roast
なよ robot
なら robust
なり rocket
なる romance
なれ roof
なろ rookie
なわ room
なを rose
なん rotate
なが rough
なぎ round
なぐ route
なげ royal
なご rubber
なざ rude
なじ rug
なず rule
なぜ run
なぞ runway
なだ rural
なで sad
など saddle
なば sadness
なび safe
なぶ sail
なべ salad
なぼ salmon
なぱ salon
なぴ salt
なぷ salute
なぺ same
なぽ sample
なっ sand
なゃ satisfy
なゅ satoshi
なょ sauce
にあ sausage
にい save
にう say
にえ scale
にお scan
にか scare
にき scatter
にく scene
にけ scheme
にこ school
にさ science
にし scissors
にす scorpion
にせ scout
にそ scrap
にた screen
にち script
につ scrub
にて sea
にと search
にな season
にに seat
にぬ second
にね secret
にの section
には security
にひ seed
にふ seek
にへ segment
にほ select
にま sell
にみ seminar
にむ senior
にめ sense
にも sentence
にや series
にゆ service
によ session
にら settle
にり setup
にる seven
にれ shadow
にろ shaft
にわ shallow
にを share
にん shed
にが shell
にぎ sheriff
にぐ shield
にげ shift
にご shine
にざ ship
にじ shiver
にず shock
にぜ shoe
にぞ shoot
にだ shop
にで short
にど shoulder
にば shove
にび shrimp
にぶ shrug
にべ shuffle
にぼ shy
にぱ sibling
にぴ sick
にぷ side
にぺ siege
にぽ sight
にっ sign
にゃ silent
にゅ silk
にょ silly
ぬあ silver
ぬい similar
ぬう simple
ぬえ since
ぬお sing
ぬか siren
ぬき sister
ぬく situate
ぬけ six
ぬこ size
ぬさ skate
ぬし sketch
ぬす ski
ぬせ skill
ぬそ skin
ぬた skirt
ぬち skull
ぬつ slab
ぬて slam
ぬと sleep
ぬな slender
ぬに slice
ぬぬ slide
ぬね slight
ぬの slim
ぬは slogan
ぬひ slot
ぬふ slow
ぬへ slush
ぬほ small
ぬま smart
ぬみ smile
ぬむ smoke
ぬめ smooth
ぬも snack
ぬや snake
ぬゆ snap
ぬよ sniff
ぬら snow
ぬり soap
ぬる soccer
ぬれ social
ぬろ sock
ぬわ soda
ぬを soft
ぬん solar
ぬが soldier
ぬぎ solid
ぬぐ solution
ぬげ solve
ぬご someone
ぬざ song
ぬじ soon
ぬず sorry
ぬぜ sort
ぬぞ soul
ぬだ sound
ぬで soup
ぬど source
ぬば south
ぬび space
ぬぶ spare
ぬべ spatial
ぬぼ spawn
ぬぱ speak
ぬぴ special
ぬぷ speed
ぬぺ spell
ぬぽ spend
ぬっ sphere
ぬゃ spice
ぬゅ spider
ぬょ spike
ねあ spin
ねい spirit
ねう split
ねえ spoil
ねお sponsor
ねか spoon
ねき sport
ねく spot
ねけ spray
ねこ spread
ねさ spring
ねし spy
ねす square
ねせ squeeze
ねそ squirrel
ねた stable
ねち stadium
ねつ staff
ねて stage
ねと stairs
ねな stamp
ねに stand
ねぬ start
ねね state
ねの stay
ねは steak
ねひ steel
ねふ stem
ねへ step
ねほ stereo
ねま stick
ねみ still
ねむ sting
ねめ stock
ねも stomach
ねや stone
ねゆ stool
ねよ story
ねら stove
ねり strategy
ねる street
ねれ strike
ねろ strong
ねわ struggle
ねを student
ねん stuff
ねが stumble
ねぎ style
ねぐ subject
ねげ submit
ねご subway
ねざ success
ねじ such
ねず sudden
ねぜ suffer
ねぞ sugar
ねだ suggest
ねで suit
ねど summer
ねば sun
ねび sunny
ねぶ sunset
ねべ super
ねぼ supply
ねぱ supreme
ねぴ sure
ねぷ surface
ねぺ surge
ねぽ surprise
ねっ surround
ねゃ survey
ねゅ suspect
ねょ sustain
のあ swallow
のい swamp
のう swap
のえ swarm
のお swear
のか sweet
のき swift
のく swim
のけ swing
のこ switch
のさ sword
のし symbol
のす symptom
のせ syrup
のそ system
のた table
のち tackle
のつ tag
のて tail
のと talent
のな talk
のに tank
のぬ tape
のね target
のの task
のは taste
のひ tattoo
のふ taxi
のへ teach
のほ team
のま tell
のみ ten
のむ tenant
のめ tennis
のも tent
のや term
のゆ test
のよ text
のら thank
のり that
のる theme
のれ then
のろ theory
のわ there
のを they
のん thing
のが this
のぎ thought
のぐ three
のげ thrive
のご throw
のざ thumb
のじ thunder
のず ticket
のぜ tide
のぞ tiger
のだ tilt
ので timber
のど time
のば tiny
のび tip
のぶ tired
のべ tissue
のぼ title
のぱ toast
のぴ tobacco
のぷ today
のぺ toddler
のぽ toe
のっ together
のゃ toilet
のゅ token
のょ tomato
はあ tomorrow
はい tone
はう tongue
はえ tonight
はお tool
はか tooth
はき top
はく topic
はけ topple
はこ torch
はさ tornado
はし tortoise
はす toss
はせ total
はそ tourist
はた toward
はち tower
はつ town
はて toy
はと track
はな trade
はに traffic
はぬ tragic
はね train
はの transfer
はは trap
はひ trash
はふ travel
はへ tray
はほ treat
はま tree
はみ trend
はむ trial
はめ tribe
はも trick
はや trigger
はゆ trim
はよ trip
はら trophy
はり trouble
はる truck
はれ true
はろ truly
はわ trumpet
はを trust
はん truth
はが try
はぎ tube
はぐ tuition
はげ tumble
はご tuna
はざ tunnel
はじ turkey
はず turn
はぜ turtle
はぞ twelve
はだ twenty
はで twice
はど twin
はば twist
はび two
はぶ type
はべ typical
はぼ ugly
はぱ umbrella
はぴ unable
はぷ unaware
はぺ uncle
はぽ uncover
はっ under
はゃ undo
はゅ unfair
はょ unfold
ひあ unhappy
ひい uniform
ひう unique
ひえ unit
ひお universe
ひか unknown
ひき unlock
ひく until
ひけ unusual
ひこ unveil
ひさ update
ひし upgrade
ひす uphold
ひせ upon
ひそ upper
ひた upset
ひち urban
ひつ urge
ひて usage
ひと use
ひな used
ひに useful
ひぬ useless
ひね usual
ひの utility
ひは vacant
ひひ vacuum
ひふ vague
ひへ valid
ひほ valley
ひま valve
ひみ van
ひむ vanish
ひめ vapor
ひも various
ひや vast
ひゆ vault
ひよ vehicle
ひら velvet
ひり vendor
ひる venture
ひれ venue
ひろ verb
ひわ verify
ひを version
ひん very
ひが vessel
ひぎ veteran
ひぐ viable
ひげ vibrant
ひご vicious
ひざ victory
ひじ video
ひず view
ひぜ village
ひぞ vintage
ひだ violin
ひで virtual
ひど virus
ひば visa
ひび visit
ひぶ visual
ひべ vital
ひぼ vivid
ひぱ vocal
ひぴ voice
ひぷ void
ひぺ volcano
ひぽ volume
ひっ vote
ひゃ voyage
ひゅ wage
ひょ wagon
ふあ wait
ふい walk
ふう wall
ふえ walnut
ふお want
ふか warfare
ふき warm
ふく warrior
ふけ wash
ふこ wasp
ふさ waste
ふし water
ふす wave
ふせ way
ふそ wealth
ふた weapon
ふち wear
ふつ weasel
ふて weather
ふと web
ふな wedding
ふに weekend
ふぬ weird
ふね welcome
ふの west
ふは wet
ふひ whale
ふふ what
ふへ wheat
ふほ wheel
ふま when
ふみ where
ふむ whip
ふめ whisper
ふも wide
ふや width
ふゆ wife
ふよ wild
ふら will
ふり win
ふる window
ふれ wine
ふろ wing
ふわ wink
ふを winner
ふん winter
ふが wire
ふぎ wisdom
ふぐ wise
ふげ wish
ふご witness
ふざ wolf
ふじ woman
ふず wonder
ふぜ wood
ふぞ wool
ふだ word
ふで work
ふど world
ふば worry
ふび worth
ふぶ wrap
ふべ wreck
ふぼ wrestle
ふぱ wrist
ふぴ write
ふぷ wrong
ふぺ yard
ふぽ year
ふっ yellow
ふゃ you
ふゅ young
ふょ youth
へあ zebra
へい zero
へう zone
へえ zoo
へお abandon
へか ability
へき able
へく about
へけ above
へこ absent
へさ absorb
へし abstract
へす absurd
へせ abuse
へそ access
へた accident
へち account
へつ accuse
へて achieve
へと acid
へな acoustic
へに acquire
へぬ across
へね act
への action
へは actor
へひ actress
へふ actual
へへ adapt
へほ add
へま addict
へみ address
へむ adjust
へめ admit
へも adult
へや advance
へゆ advice
へよ aerobic
へら affair
へり afford
へる afraid
へれ again
へろ age
へわ agent
へを agree
へん ahead
へが aim
へぎ air
へぐ airport
へげ aisle
へご alarm
へざ album
へじ alcohol
へず alert
へぜ alien
へぞ all
へだ alley
へで allow
へど almost
へば alone
へび alpha
へぶ already
へべ also
へぼ alter
へぱ always
へぴ amateur
へぷ amazing
へぺ among
へぽ amount
へっ amused
へゃ analyst
へゅ anchor
へょ ancient
ほあ anger
ほい angle
ほう angry
ほえ animal
ほお ankle
ほか announce
ほき annual
ほく another
ほけ answer
ほこ antenna
ほさ antique
ほし anxiety
ほす any
ほせ apart
ほそ apology
ほた appear
ほち apple
ほつ approve
ほて april
ほと arch
ほな arctic
ほに area
ほぬ arena
ほね argue
ほの arm
ほは armed
ほひ armor
ほふ army
ほへ around
ほほ arrange
ほま arrest
ほみ arrive
ほむ arrow
ほめ art
ほも artefact
ほや artist
ほゆ artwork
ほよ ask
ほら aspect
ほり assault
ほる asset
ほれ assist
ほろ assume
ほわ asthma
ほを athlete
ほん atom
ほが attack
ほぎ attend
ほぐ attitude
ほげ attract
ほご auction
ほざ audit
ほじ august
ほず aunt
ほぜ author
ほぞ auto
ほだ autumn
ほで average
ほど avocado
ほば avoid
ほび awake
ほぶ aware
ほべ away
ほぼ awesome
ほぱ awful
ほぴ awkward
ほぷ axis
ほぺ baby
ほぽ bachelor
ほっ bacon
ほゃ badge
ほゅ bag
ほょ balance
まあ balcony
まい ball
まう bamboo
まえ banana
まお banner
まか bar
まき barely
まく bargain
まけ barrel
まこ base
まさ basic
まし basket
ます battle
ませ beach
まそ bean
また beauty
まち because
まつ become
まて beef
まと before
まな begin
まに behave
まぬ behind
まね believe
まの below
まは belt
まひ bench
まふ benefit
まへ best
まほ betray
まま better
まみ between
まむ beyond
まめ bicycle
まも bid
まや bike
まゆ bind
まよ biology
まら bird
まり birth
まる bitter
まれ black
まろ blade
まわ blame
まを blanket
まん blast
まが bleak
まぎ bless
まぐ blind
まげ blood
まご blossom
まざ blouse
まじ blue
まず blur
まぜ blush
まぞ board
まだ boat
まで body
まど boil
まば bomb
まび bone
まぶ bonus
まべ book
まぼ boost
まぱ border
まぴ boring
まぷ borrow
まぺ boss
まぽ bottom
まっ bounce
まゃ box
まゅ boy
まょ bracket
みあ brain
みい brand
みう brass
みえ brave
みお bread
みか breeze
みき brick
みく bridge
みけ brief
みこ bright
