しじ grace
しず grain
しぜ grant
しぞ grape
しだ grass
しで gravity
しど great
しば green
しび grid
しぶ grief
しべ grit
しぼ grocery
しぱ group
しぴ grow
しぷ grunt
しぺ guard
しぽ guess
すあ guide
すい guilt
すう guitar
すえ gun
すお gym
すか habit
すき hair
すく half
すけ hammer
すこ hamster
すさ hand
すし happy
すす harbor
すせ hard
すそ harsh
すた harvest
すち hat
すつ have
すて hawk
すと hazard
すな head
すに health
すぬ heart
すね heavy
すの hedgehog
すは height
すひ hello
すふ helmet
すへ help
すほ hen
すま hero
すみ hidden
すむ high
すめ hill
すも hint
すや hip
すゆ hire
すよ history
すら hobby
すり hockey
する hold
すれ hole
すろ holiday
すわ hollow
すを home
すん honey
すが hood
すぎ hope
すぐ horn
すげ horror
すご horse
すざ hospital
すじ host
すず hotel
すぜ hour
すぞ hover
すだ hub
すで huge
すど human
すば humble
すび humor
すぶ hundred
すべ hungry
すぼ hunt
すぱ hurdle
すぴ hurry
すぷ hurt
すぺ husband
すぽ hybrid
せあ ice
せい icon
せう idea
せえ identify
せお idle
せか ignore
せき ill
せく illegal
せけ illness
せこ image
せさ imitate
せし immense
せす immune
せせ impact
せそ impose
せた improve
せち impulse
せつ inch
せて include
せと income
せな increase
せに index
せぬ indicate
せね indoor
せの industry
せは infant
せひ inflict
せふ inform
せへ inhale
せほ inherit
せま initial
せみ inject
せむ injury
せめ inmate
せも inner
せや innocent
せゆ input
せよ inquiry
せら insane
せり insect
せる inside
せれ inspire
せろ install
せわ intact
せを interest
せん into
せが invest
せぎ invite
せぐ involve
せげ iron
せご island
せざ isolate
せじ issue
せず item
せぜ ivory
せぞ jacket
せだ jaguar
せで jar
せど jazz
せば jealous
せび jeans
せぶ jelly
せべ jewel
せぼ job
せぱ join
せぴ joke
せぷ journey
せぺ joy
せぽ judge
そあ juice
そい jump
そう jungle
そえ junior
そお junk
そか just
そき kangaroo
そく keen
そけ keep
そこ ketchup
そさ key
そし kick
そす kid
そせ kidney
そそ kind
そた kingdom
そち kiss
そつ kit
そて kitchen
そと kite
そな kitten
そに kiwi
そぬ knee
そね knife
その knock
そは know
そひ lab
そふ label
そへ labor
そほ ladder
そま lady
そみ lake
そむ lamp
そめ language
そも laptop
そや large
そゆ later
そよ latin
そら laugh
そり laundry
そる lava
それ law
そろ lawn
そわ lawsuit
そを layer
そん lazy
そが leader
そぎ leaf
そぐ learn
そげ leave
そご lecture
そざ left
そじ leg
そず legal
そぜ legend
そぞ leisure
そだ lemon
そで lend
そど length
そば lens
そび leopard
そぶ lesson
そべ letter
そぼ level
そぱ liar
そぴ liberty
そぷ library
そぺ license
そぽ life
たあ lift
たい light
たう like
たえ limb
たお limit
たか link
たき lion
たく liquid
たけ list
たこ little
たさ live
たし lizard
たす load
たせ loan
たそ lobster
たた local
たち lock
たつ logic
たて lonely
たと long
たな loop
たに lottery
たぬ loud
たね lounge
たの love
たは loyal
たひ lucky
たふ luggage
たへ lumber
たほ lunar
たま lunch
たみ luxury
たむ lyrics
ため machine
たも mad
たや magic
たゆ magnet
たよ maid
たら mail
たり main
たる major
たれ make
たろ mammal
たわ man
たを manage
たん mandate
たが mango
たぎ mansion
たぐ manual
たげ maple
たご marble
たざ march
たじ margin
たず marine
たぜ market
たぞ marriage
ただ mask
たで mass
たど master
たば match
たび material
たぶ math
たべ matrix
たぼ matter
たぱ maximum
たぴ maze
たぷ meadow
たぺ mean
たぽ measure
ちあ meat
ちい mechanic
ちう medal
ちえ media
ちお melody
ちか melt
ちき member
ちく memory
ちけ mention
ちこ menu
ちさ mercy
ちし merge
ちす merit
ちせ merry
ちそ mesh
ちた message
ちち metal
ちつ method
ちて middle
ちと midnight
ちな milk
ちに million
ちぬ mimic
ちね mind
ちの minimum
ちは minor
ちひ minute
ちふ miracle
ちへ mirror
ちほ misery
ちま miss
ちみ mistake
ちむ mix
ちめ mixed
ちも mixture
ちや mobile
ちゆ model
ちよ modify
ちら mom
ちり moment
ちる monitor
ちれ monkey
ちろ monster
ちわ month
ちを moon
ちん moral
ちが more
ちぎ morning
ちぐ mosquito
ちげ mother
ちご motion
ちざ motor
ちじ mountain
ちず mouse
ちぜ move
ちぞ movie
ちだ much
ちで muffin
ちど mule
ちば multiply
ちび muscle
ちぶ museum
ちべ mushroom
ちぼ music
ちぱ must
ちぴ mutual
ちぷ myself
ちぺ mystery
ちぽ myth
つあ naive
つい name
つう napkin
つえ narrow
つお nasty
つか nation
つき nature
つく near
つけ neck
つこ need
つさ negative
つし neglect
つす neither
つせ nephew
つそ nerve
つた nest
つち net
つつ network
つて neutral
つと never
つな news
つに next
つぬ nice
つね night
つの noble
つは noise
つひ nominee
つふ noodle
つへ normal
つほ north
つま nose
つみ notable
つむ note
つめ nothing
つも notice
つや novel
つゆ now
つよ nuclear
つら number
つり nurse
つる nut
つれ oak
つろ obey
つわ object
つを oblige
つん obscure
つが observe
つぎ obtain
つぐ obvious
つげ occur
つご ocean
つざ october
つじ odor
つず off
つぜ offer
つぞ office
つだ often
つで oil
つど okay
つば old
つび olive
つぶ olympic
つべ omit
つぼ once
つぱ one
つぴ onion
つぷ online
つぺ only
つぽ open
てあ opera
てい opinion
てう oppose
てえ option
てお orange
てか orbit
てき orchard
てく order
てけ ordinary
てこ organ
てさ orient
てし original
てす orphan
てせ ostrich
てそ other
てた outdoor
てち outer
てつ output
てて outside
てと oval
てな oven
てに over
てぬ own
てね owner
ての oxygen
ては oyster
てひ ozone
てふ pact
てへ paddle
てほ page
てま pair
てみ palace
てむ palm
てめ panda
ても panel
てや panic
てゆ panther
てよ paper
てら parade
てり parent
てる park
てれ parrot
てろ party
てわ pass
てを patch
てん path
てが patient
てぎ patrol
てぐ pattern
てげ pause
てご pave
てざ payment
てじ peace
てず peanut
てぜ pear
てぞ peasant
てだ pelican
てで pen
てど penalty
てば pencil
てび people
てぶ pepper
てべ perfect
てぼ permit
てぱ person
てぴ pet
てぷ phone
てぺ photo
てぽ phrase
とあ physical
とい piano
とう picnic
とえ picture
とお piece
とか pig
とき pigeon
とく pill
とけ pilot
とこ pink
とさ pioneer
とし pipe
とす pistol
とせ pitch
とそ pizza
とた place
とち planet
とつ plastic
とて plate
とと play
とな please
とに pledge
とぬ pluck
とね plug
との plunge
とは poem
とひ poet
とふ point
とへ polar
とほ pole
とま police
とみ pond
とむ pony
とめ pool
とも popular
とや portion
とゆ position
とよ possible
とら post
とり potato
とる pottery
とれ poverty
とろ powder
とわ power
とを practice
とん praise
とが predict
とぎ prefer
とぐ prepare
とげ present
とご pretty
とざ prevent
とじ price
とず pride
とぜ primary
とぞ print
とだ priority
とで prison
とど private
とば prize
とび problem
とぶ process
とべ produce
とぼ profit
とぱ program
とぴ project
とぷ promote
とぺ proof
とぽ property
なあ prosper
ない protect
なう proud
なえ provide
なお public
なか pudding
なき pull
なく pulp
なけ pulse
なこ pumpkin
なさ punch
なし pupil
なす puppy
なせ purchase
なそ purity
なた purpose
なち purse
なつ push
なて put
なと puzzle
なな pyramid
なに quality
なぬ quantum
なね quarter
なの question
なは quick
なひ quit
なふ quiz
なへ quote
なほ rabbit
なま raccoon
なみ race
なむ rack
なめ radar
なも radio
なや rail
なゆ rain
なよ raise
なら rally
なり ramp
なる ranch
なれ random
なろ range
なわ rapid
なを rare
なん rate
なが rather
なぎ raven
なぐ raw
なげ razor
なご ready
なざ real
なじ reason
なず rebel
なぜ rebuild
なぞ recall
なだ receive
なで recipe
など record
なば recycle
なび reduce
なぶ reflect
なべ reform
なぼ refuse
なぱ region
なぴ regret
なぷ regular
なぺ reject
なぽ relax
にあ release
にい relief
にう rely
にえ remain
にお remember
にか remind
にき remove
にく render
にけ renew
にこ rent
にさ reopen
にし repair
にす repeat
にせ replace
にそ report
にた require
にち rescue
につ resemble
にて resist
にと resource
にな response
にに result
にぬ retire
にね retreat
にの return
には reunion
にひ reveal
にふ review
にへ reward
にほ rhythm
にま rib
にみ ribbon
にむ rice
にめ rich
にも ride
にや ridge
にゆ rifle
によ right
にら rigid
にり ring
にる riot
にれ ripple
にろ risk
にわ ritual
にを rival
にん river
にが road
にぎ roast
にぐ robot
にげ robust
にご rocket
にざ romance
にじ roof
にず rookie
にぜ room
にぞ rose
にだ rotate
にで rough
にど round
にば route
にび royal
にぶ rubber
にべ rude
にぼ rug
にぱ rule
にぴ run
にぷ runway
にぺ rural
にぽ sad
ぬあ saddle
ぬい sadness
ぬう safe
ぬえ sail
ぬお salad
ぬか salmon
ぬき salon
ぬく salt
ぬけ salute
ぬこ same
ぬさ sample
ぬし sand
ぬす satisfy
ぬせ satoshi
ぬそ sauce
ぬた sausage
ぬち save
ぬつ say
ぬて scale
ぬと scan
ぬな scare
ぬに scatter
ぬぬ scene
ぬね scheme
ぬの school
ぬは science
ぬひ scissors
ぬふ scorpion
ぬへ scout
ぬほ scrap
ぬま screen
ぬみ script
ぬむ scrub
ぬめ sea
ぬも search
ぬや season
ぬゆ seat
ぬよ second
ぬら secret
ぬり section
ぬる security
ぬれ seed
ぬろ seek
ぬわ segment
ぬを select
ぬん sell
ぬが seminar
ぬぎ senior
ぬぐ sense
ぬげ sentence
ぬご series
ぬざ service
ぬじ session
ぬず settle
ぬぜ setup
ぬぞ seven
ぬだ shadow
ぬで shaft
ぬど shallow
ぬば share
ぬび shed
ぬぶ shell
ぬべ sheriff
ぬぼ shield
ぬぱ shift
ぬぴ shine
ぬぷ ship
ぬぺ shiver
ぬぽ shock
ねあ shoe
ねい shoot
ねう shop
ねえ short
ねお shoulder
ねか shove
ねき shrimp
ねく shrug
ねけ shuffle
ねこ shy
ねさ sibling
ねし sick
ねす side
ねせ siege
ねそ sight
ねた sign
ねち silent
ねつ silk
ねて silly
ねと silver
ねな similar
ねに simple
ねぬ since
ねね sing
ねの siren
ねは sister
ねひ situate
ねふ six
ねへ size
ねほ skate
ねま sketch
ねみ ski
ねむ skill
ねめ skin
ねも skirt
ねや skull
ねゆ slab
ねよ slam
ねら sleep
ねり slender
ねる slice
ねれ slide
ねろ slight
ねわ slim
ねを slogan
ねん slot
ねが slow
ねぎ slush
ねぐ small
ねげ smart
ねご smile
ねざ smoke
ねじ smooth
ねず snack
ねぜ snake
ねぞ snap
ねだ sniff
ねで snow
ねど soap
ねば soccer
ねび social
ねぶ sock
ねべ soda
ねぼ soft
ねぱ solar
ねぴ soldier
ねぷ solid
ねぺ solution
ねぽ solve
のあ someone
のい song
のう soon
のえ sorry
のお sort
のか soul
のき sound
のく soup
のけ source
のこ south
のさ space
のし spare
のす spatial
のせ spawn
のそ speak
のた special
のち speed
のつ spell
のて spend
のと sphere
のな spice
のに spider
のぬ spike
のね spin
のの spirit
のは split
のひ spoil
のふ sponsor
のへ spoon
のほ sport
のま spot
のみ spray
のむ spread
のめ spring
のも spy
のや square
のゆ squeeze
のよ squirrel
のら stable
のり stadium
のる staff
のれ stage
のろ stairs
のわ stamp
のを stand
のん start
のが state
のぎ stay
のぐ steak
のげ steel
のご stem
のざ step
のじ stereo
のず stick
のぜ still
のぞ sting
のだ stock
ので stomach
のど stone
のば stool
のび story
のぶ stove
のべ strategy
のぼ street
のぱ strike
のぴ strong
のぷ struggle
のぺ student
のぽ stuff
はあ stumble
はい style
はう subject
はえ submit
はお subway
はか success
はき such
はく sudden
はけ suffer
はこ sugar
はさ suggest
はし suit
はす summer
はせ sun
はそ sunny
はた sunset
はち super
はつ supply
はて supreme
はと sure
はな surface
はに surge
はぬ surprise
はね surround
はの survey
はは suspect
はひ sustain
はふ swallow
はへ swamp
はほ swap
はま swarm
はみ swear
はむ sweet
はめ swift
はも swim
はや swing
はゆ switch
はよ sword
はら symbol
はり symptom
はる syrup
はれ system
はろ table
はわ tackle
はを tag
はん tail
はが talent
はぎ talk
はぐ tank
はげ tape
はご target
はざ task
はじ taste
はず tattoo
はぜ taxi
はぞ teach
はだ team
はで tell
はど ten
はば tenant
はび tennis
はぶ tent
はべ term
はぼ test
はぱ text
はぴ thank
はぷ that
はぺ theme
はぽ then
ひあ theory
ひい there
ひう they
ひえ thing
ひお this
ひか thought
ひき three
ひく thrive
ひけ throw
ひこ thumb
ひさ thunder
ひし ticket
ひす tide
ひせ tiger
ひそ tilt
ひた timber
ひち time
ひつ tiny
ひて tip
ひと tired
ひな tissue
ひに title
ひぬ toast
ひね tobacco
ひの today
ひは toddler
ひひ toe
ひふ together
ひへ toilet
ひほ token
ひま tomato
